frase,situacao
"sinto dor no peito e falta de ar",alto risco
"tive um leve incômodo nas costas",baixo risco
"dor aguda no braço esquerdo acompanhada de sudorese",alto risco
"estou com uma tosse seca há alguns dias",baixo risco
"desmaiei e meu coração estava batendo muito rápido",alto risco
"acordei com um pouco de dor de cabeça",baixo risco
"sinto uma pressão insuportável no tórax",alto risco
"meu estômago está roncando de fome",baixo risco
"falta de ar severa apenas por caminhar no quarto",alto risco
"dor leve na perna depois de correr",baixo risco
"tontura frequente e visão embaçada de forma súbita",alto risco
"sinto cansaço após um longo dia de trabalho",baixo risco
"palpitações intensas e fraqueza no corpo todo",alto risco
"unha encravada doendo ao caminhar",baixo risco
"confusão mental e dor na nuca ao acordar",alto risco
"ardência leve nos olhos devido ao tempo seco",baixo risco
"inchaço nas pernas repentino e dor forte",alto risco
"pequeno corte no dedo cozinhando",baixo risco
"dor muito forte no estômago irradiando para as costas",alto risco
"garganta arranhando ao engolir",baixo risco
"dor intensa no peito que irradia para o braço esquerdo",alto risco
"leve coceira no braço após picada de inseto",baixo risco
"perda súbita de consciência sem motivo aparente",alto risco
"nariz escorrendo com espirros frequentes",baixo risco
"dificuldade extrema para respirar mesmo em repouso",alto risco
"dor muscular leve após exercício físico",baixo risco
"paralisia repentina de um lado do corpo",alto risco
"pequena afta na boca incomodando ao comer",baixo risco
"vômito com sangue em grande quantidade",alto risco
"leve dor de barriga após comer demais",baixo risco
"convulsão prolongada sem histórico de epilepsia",alto risco
"olhos ressecados após usar o computador por horas",baixo risco
"febre acima de 40 graus com rigidez na nuca",alto risco
"leve resfriado com coriza e espirros",baixo risco
"dor torácica acompanhada de náusea e suor frio",alto risco
"coceira leve no couro cabeludo",baixo risco
"sangramento intenso que não para após corte profundo",alto risco
"pequena bolha no pé por sapato apertado",baixo risco
"perda repentina da visão em um dos olhos",alto risco
"leve irritação na pele por uso de sabonete novo",baixo risco
"dor de cabeça súbita e extremamente forte nunca sentida antes",alto risco
"dor leve no joelho ao subir escadas",baixo risco
"arritmia cardíaca com desmaio",alto risco
"leve azia após refeição pesada",baixo risco
"incapacidade de mover as pernas de repente",alto risco
"cãibra na panturrilha durante a noite",baixo risco
"tosse com sangue em grande volume",alto risco
"pigarro constante pela manhã",baixo risco
"queda brusca da pressão arterial com tontura",alto risco
"leve inchaço no tornozelo após caminhada longa",baixo risco
"dor no peito ao respirar fundo com sudorese intensa",alto risco
"pequeno hematoma no braço após batida leve",baixo risco
"fala arrastada e confusão mental repentina",alto risco
"dor de garganta leve ao acordar",baixo risco
"pressão arterial muito alta com dor de cabeça intensa",alto risco
"leve dor nas costas por má postura",baixo risco
"hemorragia nasal intensa que não cessa",alto risco
"espinha inflamada no rosto",baixo risco
"dor abdominal aguda com abdômen rígido",alto risco
"gases intestinais após comer feijão",baixo risco
"crise asmática severa sem resposta ao broncodilatador",alto risco
"leve congestão nasal por alergia sazonal",baixo risco
"edema pulmonar com dificuldade respiratória grave",alto risco
"pele ressecada nas mãos durante o inverno",baixo risco
"choque anafilático após picada de abelha",alto risco
"leve vermelhidão na pele por exposição ao sol",baixo risco
